scientificName,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName,dynamicProperties,iucnRegionalStatus
Griseotyrannus aurantioatrocristatus,Aves,Passeriformes,Tyrannidae,Griseotyrannus,aurantioatrocristatus,,tuquito gris,LC,
Gubernatrix cristata,Aves,Passeriformes,Emberizidae,Gubernatrix,cristata,,cardenal amarillo,EN,EN
Gubernetes yetapa,Aves,Passeriformes,Tyrannidae,Gubernetes,yetapa,,yetapá grande,LC,
Guira guira,Aves,Cuculiformes,Cuculidae,Guira,guira,,pirincho,LC,
Haematopus ater,Aves,Charadriiformes,Haematopodidae,Haematopus,ater,,ostrero negro,LC,
Haematopus palliatus,Aves,Charadriiformes,Haematopodidae,Haematopus,palliatus,,ostrero común,LC,
Heliobletus contaminatus,Aves,Passeriformes,Furnariidae,Heliobletus,contaminatus,,,LC,
Heliomaster furcifer,Aves,Apodiformes,Trochilidae,Heliomaster,furcifer,,picaflor de barbijo,LC,
Hemithraupis ruficapilla,Aves,Passeriformes,Thraupidae,Hemithraupis,ruficapilla,,,LC,
Hemitriccus margaritaceiventer,Aves,Passeriformes,Tyrannidae,Hemitriccus,margaritaceiventer,,mosqueta ojo dorado,LC,
Heteronetta atricapilla,Aves,Anseriformes,Anatidae,Heteronetta,atricapilla,,pato cabeza negra,LC,
Heteroxolmis dominicana,Aves,Passeriformes,Tyrannidae,Heteroxolmis,dominicana,,viudita blanca grande,VU,
Himantopus mexicanus,Aves,Charadriiformes,Recurvirostridae,Himantopus,mexicanus,,tero real,LC,
Hirundinea ferruginea,Aves,Passeriformes,Tyrannidae,Hirundinea,ferruginea,,viudita colorada,LC,
Hirundo rustica,Aves,Passeriformes,Hirundinidae,Hirundo,rustica,,golondrina tijereta,LC,
Hydropsalis torquata,Aves,Caprimulgiformes,Caprimulgidae,Hydropsalis,torquata,,dormilón tijereta,LC,
Hylocharis chrysura,Aves,Apodiformes,Trochilidae,Hylocharis,chrysura,,picaflor bronceado,LC,
Hymenops perspicillatus,Aves,Passeriformes,Tyrannidae,Hymenops,perspicillatus,,pico de plata,LC,
Icterus pyrrhopterus,Aves,Passeriformes,Icteridae,Icterus,pyrrhopterus,,boyerín,LC,
Ixobrychus involucris,Aves,Pelecaniformes,Ardeidae,Ixobrychus,involucris,,mirasol chico,LC,
Jacana jacana,Aves,Charadriiformes,Jacanidae,Jacana,jacana,,jacana,LC,
Knipolegus cyanirostris,Aves,Passeriformes,Tyrannidae,Knipolegus,cyanirostris,,viudita negra común,LC,
Knipolegus lophotes,Aves,Passeriformes,Tyrannidae,Knipolegus,lophotes,,viudita negra copetona,LC,
Larus atlanticus,Aves,Charadriiformes,Laridae,Larus,atlanticus,,gaviota cangrejera,NT,EN
Larus dominicanus,Aves,Charadriiformes,Laridae,Larus,dominicanus,,gaviota cocinera,LC,
Laterallus leucopyrrhus,Aves,Gruiformes,Rallidae,Laterallus,leucopyrrhus,,burrito patas rojas,LC,
Laterallus melanophaius,Aves,Gruiformes,Rallidae,Laterallus,melanophaius,,burrito patas verdes,LC,
Lathrotriccus euleri,Aves,Passeriformes,Tyrannidae,Lathrotriccus,euleri,,mosqueta de monte,LC,
Lepidocolaptes angustirostris,Aves,Passeriformes,Furnariidae,Lepidocolaptes,angustirostris,,trepador chico,LC,
Lepidocolaptes falcinellus,Aves,Passeriformes,Furnariidae,Lepidocolaptes,falcinellus,,trepador escamado,LC,
Leptasthenura platensis,Aves,Passeriformes,Furnariidae,Leptasthenura,platensis,,coludito copetón,LC,
Leptotila rufaxilla,Aves,Columbiformes,Columbidae,Leptotila,rufaxilla,,paloma montaraz oscura,LC,
Leptotila verreauxi,Aves,Columbiformes,Columbidae,Leptotila,verreauxi,,paloma montaraz común,LC,
Lessonia rufa,Aves,Passeriformes,Tyrannidae,Lessonia,rufa,,sobrepuesto,LC,
Leucocarbo atriceps,Aves,Suliformes,Phalacrocoracidae,Leucocarbo,atriceps,,,LC,
Leucochloris albicollis,Aves,Apodiformes,Trochilidae,Leucochloris,albicollis,,picaflor garganta blanca,LC,
Leucophaeus pipixcan,Aves,Charadriiformes,Laridae,Leucophaeus,pipixcan,,,LC,
Limnoctites rectirostris,Aves,Passeriformes,Furnariidae,Limnoctites,rectirostris,,pajonalera pico recto,NT,
Limnornis curvirostris,Aves,Passeriformes,Furnariidae,Limnornis,curvirostris,,pajonalera pico curvo,LC,
Limosa haemastica,Aves,Charadriiformes,Scolopacidae,Limosa,haemastica,,becasa de mar,LC,
Lochmias nematura,Aves,Passeriformes,Furnariidae,Lochmias,nematura,,macuquiño,LC,
Machetornis rixosa,Aves,Passeriformes,Tyrannidae,Machetornis,rixosa,,margarita,LC,
Mackenziaena leachii,Aves,Passeriformes,Thamnophilidae,Mackenziaena,leachii,,,LC,
Macronectes giganteus,Aves,Procellariiformes,Procellariidae,Macronectes,giganteus,,petrel gigante común,LC,
Macronectes halli,Aves,Procellariiformes,Procellariidae,Macronectes,halli,,petrel gigante oscuro,LC,
Mareca sibilatrix,Aves,Anseriformes,Anatidae,Mareca,sibilatrix,,pato overo,LC,
Megaceryle torquata,Aves,Coraciiformes,Alcedinidae,Megaceryle,torquata,,martín pescador grande,LC,
Megarynchus pitangua,Aves,Passeriformes,Tyrannidae,Megarynchus,pitangua,,pitanguá,LC,
Megascops choliba,Aves,Strigiformes,Strigidae,Megascops,choliba,,tamborcito común,LC,
Megascops sanctaecatarinae,Aves,Strigiformes,Strigidae,Megascops,sanctaecatarinae,,tamborcito grande,LC,
Melanerpes cactorum,Aves,Piciformes,Picidae,Melanerpes,cactorum,,carpintero del cardón,LC,
Melanerpes candidus,Aves,Piciformes,Picidae,Melanerpes,candidus,,carpintero blanco,LC,
Milvago chimachima,Aves,Falconiformes,Falconidae,Milvago,chimachima,,chimachima,LC,
Milvago chimango,Aves,Falconiformes,Falconidae,Milvago,chimango,,chimango,LC,
Mimus saturninus,Aves,Passeriformes,Mimidae,Mimus,saturninus,,calandria,LC,
Mimus triurus,Aves,Passeriformes,Mimidae,Mimus,triurus,,calandria tres colas,LC,
Molothrus bonariensis,Aves,Passeriformes,Icteridae,Molothrus,bonariensis,,tordo común,LC,
Molothrus rufoaxillaris,Aves,Passeriformes,Icteridae,Molothrus,rufoaxillaris,,tordo pico corto,LC,
Morus capensis,Aves,Suliformes,Sulidae,Morus,capensis,,,EN,
Muscisaxicola maclovianus,Aves,Passeriformes,Tyrannidae,Muscisaxicola,maclovianus,,dormilona cara negra,LC,
Mycteria americana,Aves,Ciconiiformes,Ciconiidae,Mycteria,americana,,cigüeña cabeza pelada,LC,
Myiarchus ferox,Aves,Passeriformes,Tyrannidae,Myiarchus,ferox,,,LC,
Myiarchus swainsoni,Aves,Passeriformes,Tyrannidae,Myiarchus,swainsoni,,burlisto común,LC,
Myiarchus tyrannulus,Aves,Passeriformes,Tyrannidae,Myiarchus,tyrannulus,,burlisto cola castaña,LC,
Myiodynastes maculatus,Aves,Passeriformes,Tyrannidae,Myiodynastes,maculatus,,benteveo rayado,LC,
Myiopagis viridicata,Aves,Passeriformes,Tyrannidae,Myiopagis,viridicata,,papamoscas verdoso,LC,
Myiophobus fasciatus,Aves,Passeriformes,Tyrannidae,Myiophobus,fasciatus,,mosqueta corona amarilla,LC,
Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,monachus,,cotorra,LC,
Myiothlypis leucoblephara,Aves,Passeriformes,Parulidae,Myiothlypis,leucoblephara,,arañero oliváceo,LC,
